Keyword,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49
mit generative ai course,0.7118716142378226,-0.18313995883002626,-0.3169112697447896,9.339735825579793e-05,0.13601622342564168,0.053724091300381666,-0.02946635500901402,-0.2197525678369544,0.031470125412840055,-0.02600072021993451,-0.0353972585820852,-0.007992033851236377,0.02262175857973875,-0.041464317132882685,-0.06452838484925537,-0.11895442525928444,-0.05143013022159696,-0.039009252830134435,-0.11294068862849241,-0.07887742837582097,-0.047376753293238864,0.11110109540172654,-0.042724908636276204,-0.07212562955059124,0.021352481281709038,-0.19910374279528825,0.020729122849378372,0.09626631525507492,-0.002183062342893608,0.10766511592733857,0.12248502682312264,0.10399292687496324,-0.10762614939946652,0.032905540405728496,0.12443114583136539,-0.029763446388272847,0.26140762080348734,0.03913218459395473,-0.00269741843081403,-0.06523132375885381,0.03280985298828445,-0.13096207391719755,-0.03716789719587899,-0.07709048814543958,-0.0019679363958005377,-0.024574584825788254,-0.04681195780766595,0.012195508983563271,0.027434140272140313,0.028420035872016358
certification for artificial intelligence,0.17527557503336622,0.7078771168500075,0.03205238886288227,0.23466624350947027,-0.04494628138948382,0.2500875081530531,0.08048313958784353,0.054312203492154085,-0.02614292965661946,-0.0480824219206232,-0.037478037144123476,0.01408142330841499,-0.08563553092535013,0.042110772533583245,-0.04059231542423733,-0.09411927967279234,-0.06110173038052418,-0.07067846268475908,-0.0030431418817989356,0.03140309797446409,0.06457764273709457,0.037715929363516996,-0.03849336073008829,-0.041612305801915696,0.07129225469063753,0.0250489576715622,-0.07082994212686597,0.03303743266868448,-0.12504623247997593,-0.08441478143270954,-0.029524282839795364,-0.14452621037742952,0.01958671377197794,-0.09772758511950412,0.1118420168096889,0.006340805626859227,0.022997472411431175,-0.15554217437519757,0.010492447426350256,0.07375028736159392,0.35144547444211277,-0.21198524728652585,-0.004294338682621511,-0.018469531520055017,-0.032492507374796115,0.011470453636171501,0.05987634594706008,0.04649484526428245,0.10235521975161668,0.006556191635308545
best place to study artificial intelligence,0.11446059369484796,0.4265194557059473,0.012187674291606393,-0.05910150906285137,-0.06727020530689667,-0.014280751144955084,0.004022792019901207,0.010744120507613171,0.16945983577135795,-0.017230065311855638,-0.19788381145845377,0.3015596352078214,0.01635877868972852,-0.07944502326738051,0.022714430803816157,0.15837498494592644,-0.05335438247907421,0.06724167421322143,-0.05875819574741485,0.02732846967416253,-0.0008201338576876607,0.0008749287662638006,0.003240054024407658,-0.02419624078992493,0.03820178122037243,0.018382711070163964,0.030783996162994664,-0.046887505228402654,-0.09841390910449078,-0.1075499230685535,-0.03832659423902405,0.09855560767715703,0.003146451487213095,0.19481824768215916,-0.04237390070004242,-0.3267411528283537,0.34022740955655745,-0.20882452171066712,-0.19636941459469495,0.3110590411151539,-0.09227271937714533,0.2977342220982878,0.015995060212515122,0.09195693309865002,0.06493477821688416,-0.01864462219869178,-0.0012638223416407974,-0.006565192984408097,-0.04347944602125365,-0.04556145680008522
generative ai training course,0.44180246397629735,-0.09555420427112446,-0.03727129729283436,-0.07730497591374243,-0.13034903510911638,0.02299310277044297,0.10976713236236525,-0.04116263037317951,-0.06593492053783424,0.07209934550215437,0.09995027462926093,0.03851000837549152,0.13076004196924465,0.06136716026779089,-0.03983570054304272,-0.014323193150971303,-0.010235423830776942,-0.1962099279665872,-0.04214086632459387,-0.03332827293352248,0.06566061670509273,0.07798209675849459,0.06864754256361451,0.2629532110657721,0.19357332767796856,0.28412719911053164,0.6348679114394341,-0.07027343257645671,-0.14827506460082646,0.06723281109405187,0.08835583013215034,0.011373316102881567,0.007388863637656545,-0.11440712840961596,0.08649736608063877,0.011837599056691336,-0.04205020163383809,0.01797876290437778,-0.00028213429656987897,-0.003652687154007733,-0.012286090960077248,-0.006043297639199964,-0.001783914736011754,-0.010737226460393061,0.023623465773301763,-0.053214117068083266,-0.01081165055183086,-0.013783957975333948,-0.00022731084867826643,0.01133550915944995
google generative ai course,0.7306594438420051,-0.23170417658113981,-0.24401179025891137,-0.08888447512782073,-0.2510722492022448,0.08533812805040289,-0.05428098326005607,-0.023711077003949643,-0.027309365854282123,-0.05758656051812566,-0.09489923226353185,0.06879204862755836,-0.054233229529681126,0.02372209166608114,0.009312883730904204,0.038345235478934044,-0.2007241677279812,-0.09056120614956172,-0.08214738161624426,0.016150115381127653,0.05337257750664807,-0.041999559623125494,0.03389926389522369,-0.0867994756801509,-0.027388637562084213,0.019112931610414368,-0.042691443330180656,0.02087566144514396,0.019752938321560123,0.06878089128810246,0.06941842104443746,-0.06088408376788631,-0.09353052858823013,-0.07781434648092055,-0.10061581006389325,0.12840308257248603,-0.08012809409581574,0.10561692425471851,0.20620774617013268,0.04664878071997415,0.07391966509853727,6.529122805329536e-05,-0.019155942071089855,0.01410263183879383,0.024126449153740726,0.002939796783653138,0.07885588446943645,0.02350939357284456,-0.1865247743704033,-0.10310526385097549
mit artificial intelligence course,0.2656569713376666,0.5670242679311633,-0.2805598166261389,0.056868309363138095,0.12808045095458015,-0.0880323542707786,-0.10998392607780724,-0.20408136871934401,0.061901535588526534,-0.055266716912472175,0.04652051017755099,0.05269895405148114,0.03302155346893364,0.06892180152929787,-0.08267598176071063,-0.1120946303800318,0.06579956407516219,-0.012142697020874596,-0.0132397711495528,-0.04054599668023724,-0.05055311141294562,0.028380580399865917,0.009213704015394874,0.1816620199330973,-0.39107561717195527,-0.0770261274489656,0.14175622395342283,0.09882082163557987,-0.019804815166120506,-0.04767417645527498,-0.21499710793482874,0.14034381055537162,0.09587507272002424,0.1656393893392659,-0.14155480784805002,0.11916114005137715,-0.05102854701449016,0.1304102543788906,-0.00040788329105620594,0.021739644442662503,-0.0077891992254648535,-0.03956998981625626,-0.00198487586037115,0.033675190247903615,0.0007395888408490916,-0.06531647645030114,0.05249011287170434,-0.017381627689174808,-0.09712365985267098,0.02146206223050609
generative ai certificate course,0.5455305155449646,-0.15012011727330454,-0.17464755355465836,0.013926716341317466,0.16544484936422482,-0.19867953762008392,0.44075935437753244,0.43975705588026753,0.10751116211885685,0.0979007911401889,0.03211541885145471,0.053378217017657846,0.023123283422255256,-0.1092979547315335,-0.14072213752628737,-0.1401844314946633,-0.06958963433057067,-0.10138772932024494,0.04194324269967304,0.00980342434855394,0.007746255885682941,-0.022472879926389216,0.010095681924171488,0.07612777658358201,-0.05176055784425451,0.005619096299640526,0.03180002799087448,0.04735018348057424,0.030826962270435264,-0.05503270148223205,-0.05330047415685377,-0.16619328730260002,0.007759038581654304,-0.012901355401423825,-0.11129140418517317,-0.03516970189033621,-0.020657629111875863,-0.07620142816140799,0.10356616946000556,0.06398481839445981,-0.08901272228578269,-0.010635146841287415,-0.0012617230168760598,0.02230936596964621,0.0010477869930258141,-0.06150991096956519,0.062292827848826,-0.006555261513078659,-0.0021464632983210644,-0.052059025636256674
best courses on artificial intelligence,0.2111990267546748,0.5439190538902178,0.22934257373543407,-0.17392584009727924,-0.06992340140994983,-0.13184148135141335,-0.031509183512114715,-0.013531452651959127,0.36465718146444914,0.14950877998046316,0.0490266975334055,-0.2650261778906287,-0.1325179287883272,-0.0819337590126617,0.07265304825764651,0.08462835835386728,-0.03043018563624042,0.08821757510100532,-0.09252459926389676,0.016723561513355252,-0.0070970249416921335,-0.02786583492109139,0.056097594762069616,-0.03175504665775281,0.053341823598732074,-0.010162968442969794,-0.05000292806495173,0.04672492981758282,-0.12538061535827436,0.0528883437446631,0.20440026562769592,0.20267269217262396,-0.17024990101846693,0.05394630010845659,-0.1948478098227307,-0.04568990227917782,-0.04710531174040974,0.049432074905848875,0.15524235953495877,-0.03818574139559948,-0.12362469437668998,0.027780117253874127,0.003542657001576052,-0.0843529722800382,-0.005071792378441604,0.0445607702985053,-0.15126480350876037,-0.02731978849615891,0.07100531124415485,-0.031587019512032834
generative ai courses online,0.5707875014282694,-0.05457262555817718,0.5234825603374452,-0.27132937852341155,0.05038240083772913,-0.2178186339460906,0.13817447663698826,-0.14630112743214288,-0.22555202565696422,-0.15044973372216983,0.014167195727161288,0.02251798242052357,-0.07405767582947324,0.054537484191422174,-0.012029255587943127,-0.08550163565301473,0.030314232953602208,-0.12249675950246029,0.08475537643479253,-0.05704140255261984,-0.045582700700492966,-0.05351823163978156,0.09069474167719097,-0.03258031308921357,0.015819149777289775,-0.01568564479188884,-0.01998594705893484,-0.037385367846307006,0.21197279363112392,0.0579949964691938,-0.042045337465193296,-0.07906015434197293,0.06780201508089018,-0.04508636053190866,0.013491790505834,0.10037282031562778,0.05311525677992331,0.04969081645752893,-0.017429223263217695,0.08798876991924873,0.023536745242896062,0.02686778856102085,0.012711128501408698,-0.016244162015946546,-0.017273544744836524,-0.06316380637733293,0.020578201556162697,0.0006291777501659083,0.027900994048458486,-0.07966726734225367
course in generative ai,0.4581774308052554,-0.122138881295707,-0.0354456987920652,-0.07562903654443343,-0.11754364544037878,0.05737050223296615,0.17309048866578103,-0.0096423226665536,-0.018455313677867076,0.12439870609457104,0.10208859571614125,0.09280546383048008,0.08445861767842801,0.4087813010927774,0.1843021527392787,-0.1385472009106436,-0.1265999291429289,0.21783557171102888,0.03638627145520333,0.08504084013372361,-0.06245270091291818,0.03665940201783483,-0.04096980263481148,0.09000706685907608,-0.08512085188178041,-0.06810580607250825,0.044133588277351816,0.06825810920783557,0.00035255963631494264,0.0594259774559074,0.007368614238708726,-0.0832867254974369,0.15879423313758886,0.06313037310218984,-0.022855226180841876,-0.18119182400963085,-0.1048472724234345,-0.23083838509398277,0.17336251697023153,-0.13092065127071167,0.1601382798034677,0.1916258181850763,0.003354552525195149,0.006187085765188511,-0.023952518509968816,-0.23421660570743194,-0.20657974075207242,-0.06979084014700149,0.03210169971300635,-0.04739714955692086
